phone,first_name,last_name,date_of_joining,role
9337765178,Lara,Burch,2018-05-23,Employee
9574564718,Bryar,Atkinson,2019-11-29,Unspecified
9769435302,Brady,Guy,2018-09-21,Employee
9264826213,Theodore,Brewer,2020-04-30,Unspecified
9557461860,Kirestin,Jenkins,2020-12-07,Unspecified
9441890711,Grace,Fry,2020-08-27,Employee
9247863354,Ora,Mcclure,2020-07-08,Employee
9867613539,Devin,Rowe,2018-04-09,Unspecified
9717691442,Jennifer,Davis,2020-02-01,Unspecified
9470876285,Kyle,Chambers,2020-01-25,Employee
9836927534,Christopher,Vaughn,2020-03-19,Unspecified
9786139123,Nathaniel,Short,2019-02-14,Employee
9031745817,Rylee,Cochran,2019-02-25,Unspecified
9552877552,Keane,O'Neill,2020-09-29,Unspecified
9566179716,Elliott,Vinson,2018-03-25,Employee
9408175298,Hanae,Barber,2019-07-29,Employee
9915727638,Kibo,Horn,2021-01-03,Employee
9083817568,Tanner,Compton,2020-01-28,Unspecified
9365370155,Eric,Frederick,2019-11-10,Employee
9617575487,Cynthia,Zamora,2018-09-26,Employee
9397922181,Uriel,Martinez,2020-09-22,Employee
9385766985,Alden,Watson,2019-11-08,Unspecified
9223175428,Hector,Fisher,2018-07-02,Employee
9344426455,Fitzgerald,Douglas,2021-01-08,Unspecified
9560969541,Garth,Pennington,2020-06-28,Unspecified
9103864882,Macy,Alford,2020-05-16,Unspecified
9946282273,Keelie,Morrison,2018-08-10,Unspecified
9297427334,Ali,Johnson,2020-05-01,Unspecified
9733978824,Rhona,Shepard,2021-01-06,Unspecified
9884401577,Yoshio,Quinn,2018-09-03,Unspecified
9717422541,Juliet,Johnson,2019-07-09,Unspecified
9249536647,Ray,Kerr,2019-06-06,Unspecified
9524411193,Justine,Cervantes,2020-10-30,Unspecified
9636328273,Ezra,Riggs,2018-06-29,Employee
9537058077,Scarlett,Freeman,2020-10-31,Employee
9780854764,Graham,Lowery,2020-11-29,Employee
9097841886,Robin,Underwood,2018-12-08,Employee
9328693336,Jemima,Barr,2020-10-26,Unspecified
9671995986,Lenore,Palmer,2019-03-04,Employee
9140682215,Leonard,Galloway,2018-07-16,Employee
9551218382,Haley,Norman,2020-09-06,Employee
9556252481,Nita,Kim,2019-04-13,Employee
9334631955,Emerson,Meyers,2018-07-05,Unspecified
9643269276,Sonya,Mercado,2019-09-09,Unspecified
9205185634,Alea,Ware,2019-10-22,Unspecified
9568264626,Kenyon,Vazquez,2019-02-19,Employee
9207086652,Sonya,Clarke,2020-09-03,Employee
9733269888,Jayme,Woodward,2018-09-28,Unspecified
9313018588,Madaline,Vazquez,2020-09-06,Employee
9525421543,Nevada,Norman,2020-04-29,Unspecified
