phone,first_name,last_name,pref_language,date_of_joining,privacy,Status,area_id
9132328837,Yasir,Park,English,2020-11-17,Disabled,Unknown,120368
9450061427,Bruce,Hammond,Hindi,2020-08-30,Enabled,Verified,316645
9797736171,Barclay,Alexander,English,2020-02-17,Disabled,Unknown,485219
9586640674,Mohammad,Rush,English,2021-01-14,Disabled,Verified,163523
9898614273,Burke,Cortez,Hindi,2019-09-04,Enabled,Verified,872964
9867456663,Wyoming,Waters,Hindi,2019-11-08,Enabled,Unknown,487835
9771339555,Cameran,Thomas,Hindi,2019-04-28,Disabled,Verified,466855
9984457412,Vernon,Livingston,Hindi,2019-03-01,Enabled,Blocked,584074
9776132442,Derek,Carver,English,2020-07-10,Enabled,Blocked,161883
9615882758,Graham,Coleman,English,2020-11-16,Enabled,Verified,516304
9436652636,Alvin,Heath,English,2020-02-06,Disabled,Verified,803849
9521184877,Sara,Riley,Hindi,2020-03-14,Disabled,Verified,446250
9113634208,Zeph,Joyner,Hindi,2020-10-05,Disabled,Blocked,686966
9835335356,Davis,Nixon,English,2020-01-23,Disabled,Verified,267313
9617865922,Astra,Kent,Hindi,2020-03-31,Enabled,Blocked,341084
9868218176,Lacy,Salinas,Hindi,2020-04-23,Disabled,Unknown,653371
9989528254,MacKenzie,Hale,English,2019-10-11,Disabled,Blocked,173642
9317811717,Gemma,Mack,English,2019-06-20,Disabled,Verified,454054
9261481743,Beau,Byers,Hindi,2020-12-29,Disabled,Blocked,842121
9139623353,Sopoline,Craft,Hindi,2021-01-17,Enabled,Blocked,574864
9185557667,Ashton,Bright,Hindi,2021-01-03,Enabled,Verified,813513
9513247511,Dexter,Garcia,English,2020-05-24,Enabled,Unknown,879173
9120152327,Francesca,Meyers,English,2020-11-01,Enabled,Blocked,606226
9161231259,Uriel,Kirkland,English,2019-07-14,Enabled,Unknown,813712
9491252693,Zenia,Bean,Hindi,2019-11-30,Enabled,Unknown,545768
9751375227,Jolie,Knox,English,2019-10-07,Disabled,Unknown,436747
9117021836,Drake,Clarke,English,2019-09-02,Enabled,Blocked,215576
9185270459,Rafael,Roth,English,2019-02-19,Disabled,Blocked,494191
9229631852,Tatum,Carter,Hindi,2019-07-29,Enabled,Unknown,528203
9615574688,Alexis,Stein,Hindi,2019-10-29,Enabled,Blocked,450372
9834693558,Laurel,Collier,Hindi,2020-05-04,Disabled,Blocked,943744
9207138110,Erica,Mccall,English,2020-11-01,Disabled,Verified,637738
9787506526,Hamilton,Larson,Hindi,2020-06-16,Disabled,Blocked,635462
9580655266,Nyssa,Lynn,Hindi,2021-01-26,Disabled,Unknown,239337
9439712547,Bevis,Bright,English,2019-06-29,Enabled,Blocked,218287
9318595218,Sean,Walters,Hindi,2020-02-22,Disabled,Verified,715352
9681711999,Tanya,Mann,Hindi,2020-12-20,Disabled,Blocked,482877
9031751348,Orson,Bray,English,2020-08-30,Disabled,Verified,332360
9553884354,Charity,Stone,Hindi,2019-06-15,Disabled,Verified,323516
9119173172,Charles,Talley,English,2020-08-21,Disabled,Unknown,916641
9671154030,Madeline,Bush,Hindi,2019-06-28,Disabled,Blocked,222487
9231581408,Fatima,Garrison,English,2020-07-25,Disabled,Blocked,700753
9435527525,Solomon,Fowler,English,2019-12-11,Disabled,Blocked,136477
9561629214,Kiona,Mathews,English,2019-10-13,Disabled,Blocked,313862
9637875569,Dante,Carpenter,English,2019-05-03,Disabled,Verified,547813
9327289129,Kamal,Harvey,English,2020-09-06,Enabled,Verified,788411
9862467822,Orson,Rich,Hindi,2021-01-01,Disabled,Verified,722258
9778727626,Diana,Mcdonald,Hindi,2020-08-08,Enabled,Verified,802352
9953072238,Leonard,Sampson,Hindi,2020-03-05,Enabled,Blocked,157975
9602147719,Oscar,Hahn,Hindi,2019-09-23,Disabled,Verified,335376
9711375532,Dacey,Aguilar,English,2021-01-09,Disabled,Verified,779057
9885533963,Abigail,Graham,Hindi,2020-12-18,Enabled,Verified,436947
9872027931,Karen,Mcdonald,English,2020-10-13,Enabled,Verified,875163
9642713224,Wayne,Rodriquez,Hindi,2021-01-27,Disabled,Blocked,555189
9418431961,Martena,Hicks,English,2019-03-09,Disabled,Unknown,598148
9237818061,Rama,Mcpherson,Hindi,2021-02-11,Disabled,Blocked,426762
9775375734,Caleb,Cortez,Hindi,2019-11-10,Disabled,Unknown,729541
9315642024,Maggie,Sims,English,2020-01-19,Enabled,Blocked,636657
9484122338,Solomon,O'donnell,English,2020-09-12,Disabled,Verified,212789
9334410444,Hashim,Cox,Hindi,2021-01-06,Disabled,Blocked,633497
9947284577,Roth,Morales,English,2020-05-06,Disabled,Verified,430115
9194440624,Melodie,Thompson,English,2020-06-03,Disabled,Verified,653286
9143238421,Kelsey,Buckley,Hindi,2019-03-17,Enabled,Unknown,388784
9544067418,Ramona,Preston,Hindi,2019-05-31,Disabled,Blocked,617783
9195514542,Alma,Nunez,Hindi,2019-07-03,Disabled,Verified,364821
