phone,first_name,last_name,date_of_joining,role
9337765178,Lara,Burch,23-05-2018,Employee
9574564718,Bryar,Atkinson,29-11-2019,Unspecified
9769435302,Brady,Guy,21-09-2018,Employee
9264826213,Theodore,Brewer,30-04-2020,Unspecified
9557461860,Kirestin,Jenkins,07-12-2020,Unspecified
9441890711,Grace,Fry,27-08-2020,Employee
9247863354,Ora,Mcclure,08-07-2020,Employee
9867613539,Devin,Rowe,09-04-2018,Unspecified
9717691442,Jennifer,Davis,01-02-2020,Unspecified
9470876285,Kyle,Chambers,25-01-2020,Employee
9836927534,Christopher,Vaughn,19-03-2020,Unspecified
9786139123,Nathaniel,Short,14-02-2019,Employee
9031745817,Rylee,Cochran,25-02-2019,Unspecified
9552877552,Keane,O'Neill,29-09-2020,Unspecified
9566179716,Elliott,Vinson,25-03-2018,Employee
9408175298,Hanae,Barber,29-07-2019,Employee
9915727638,Kibo,Horn,03-01-2021,Employee
9083817568,Tanner,Compton,28-01-2020,Unspecified
9365370155,Eric,Frederick,10-11-2019,Employee
9617575487,Cynthia,Zamora,26-09-2018,Employee
9397922181,Uriel,Martinez,22-09-2020,Employee
9385766985,Alden,Watson,08-11-2019,Unspecified
9223175428,Hector,Fisher,02-07-2018,Employee
9344426455,Fitzgerald,Douglas,08-01-2021,Unspecified
9560969541,Garth,Pennington,28-06-2020,Unspecified
9103864882,Macy,Alford,16-05-2020,Unspecified
9946282273,Keelie,Morrison,10-08-2018,Unspecified
9297427334,Ali,Johnson,01-05-2020,Unspecified
9733978824,Rhona,Shepard,06-01-2021,Unspecified
9884401577,Yoshio,Quinn,03-09-2018,Unspecified
9717422541,Juliet,Johnson,09-07-2019,Unspecified
9249536647,Ray,Kerr,06-06-2019,Unspecified
9524411193,Justine,Cervantes,30-10-2020,Unspecified
9636328273,Ezra,Riggs,29-06-2018,Employee
9537058077,Scarlett,Freeman,31-10-2020,Employee
9780854764,Graham,Lowery,29-11-2020,Employee
9097841886,Robin,Underwood,08-12-2018,Employee
9328693336,Jemima,Barr,26-10-2020,Unspecified
9671995986,Lenore,Palmer,04-03-2019,Employee
9140682215,Leonard,Galloway,16-07-2018,Employee
9551218382,Haley,Norman,06-09-2020,Employee
9556252481,Nita,Kim,13-04-2019,Employee
9334631955,Emerson,Meyers,05-07-2018,Unspecified
9643269276,Sonya,Mercado,09-09-2019,Unspecified
9205185634,Alea,Ware,22-10-2019,Unspecified
9568264626,Kenyon,Vazquez,19-02-2019,Employee
9207086652,Sonya,Clarke,03-09-2020,Employee
9733269888,Jayme,Woodward,28-09-2018,Unspecified
9313018588,Madaline,Vazquez,06-09-2020,Employee
9525421543,Nevada,Norman,29-04-2020,Unspecified
