phone,first_name,last_name,pref_language,date_of_joining,area_id,privacy,status
9132328837,Yasir,Park,English,17-11-2020,120368,Disabled,Blocked
9450061427,Bruce,Hammond,Hindi,30-08-2020,316645,Enabled,Verified
9797736171,Barclay,Alexander,English,17-02-2020,485219,Disabled,Unknown
9586640674,Mohammad,Rush,English,14-01-2021,163523,Disabled,Verified
9898614273,Burke,Cortez,Hindi,04-09-2019,872964,Enabled,Verified
9867456663,Wyoming,Waters,Hindi,08-11-2019,487835,Enabled,Unknown
9771339555,Cameran,Thomas,Hindi,28-04-2019,466855,Disabled,Verified
9984457412,Vernon,Livingston,Hindi,01-03-2019,584074,Enabled,Blocked
9776132442,Derek,Carver,English,10-07-2020,161883,Enabled,Blocked
9615882758,Graham,Coleman,English,16-11-2020,516304,Enabled,Verified
9436652636,Alvin,Heath,English,06-02-2020,803849,Disabled,Verified
9521184877,Sara,Riley,Hindi,14-03-2020,446250,Disabled,Verified
9113634208,Zeph,Joyner,Hindi,05-10-2020,686966,Disabled,Blocked
9835335356,Davis,Nixon,English,23-01-2020,267313,Disabled,Verified
9617865922,Astra,Kent,Hindi,31-03-2020,341084,Enabled,Blocked
9868218176,Lacy,Salinas,Hindi,23-04-2020,653371,Disabled,Unknown
9989528254,MacKenzie,Hale,English,11-10-2019,173642,Disabled,Blocked
9317811717,Gemma,Mack,English,20-06-2019,454054,Disabled,Verified
9261481743,Beau,Byers,Hindi,29-12-2020,842121,Disabled,Blocked
9139623353,Sopoline,Craft,Hindi,17-01-2021,574864,Enabled,Blocked
9185557667,Ashton,Bright,Hindi,03-01-2021,813513,Enabled,Verified
9513247511,Dexter,Garcia,English,24-05-2020,879173,Enabled,Unknown
9120152327,Francesca,Meyers,English,01-11-2020,606226,Enabled,Blocked
9161231259,Uriel,Kirkland,English,14-07-2019,813712,Enabled,Unknown
9491252693,Zenia,Bean,Hindi,30-11-2019,545768,Enabled,Unknown
9751375227,Jolie,Knox,English,07-10-2019,436747,Disabled,Unknown
9117021836,Drake,Clarke,English,02-09-2019,215576,Enabled,Blocked
9185270459,Rafael,Roth,English,19-02-2019,494191,Disabled,Blocked
9229631852,Tatum,Carter,Hindi,29-07-2019,528203,Enabled,Unknown
9615574688,Alexis,Stein,Hindi,29-10-2019,450372,Enabled,Blocked
9834693558,Laurel,Collier,Hindi,04-05-2020,943744,Disabled,Blocked
9207138110,Erica,Mccall,English,01-11-2020,637738,Disabled,Verified
9787506526,Hamilton,Larson,Hindi,16-06-2020,635462,Disabled,Blocked
9580655266,Nyssa,Lynn,Hindi,26-01-2021,239337,Disabled,Unknown
9439712547,Bevis,Bright,English,29-06-2019,218287,Enabled,Blocked
9318595218,Sean,Walters,Hindi,22-02-2020,715352,Disabled,Verified
9681711999,Tanya,Mann,Hindi,20-12-2020,482877,Disabled,Blocked
